0 0
1.25 1.27342e-40
2.5 2.49785e-37
3.75 1.32511e-34
5 3.16151e-32
6.25 4.21934e-30
7.5 3.5606e-28
8.75 2.05598e-26
10 8.58607e-25
11.25 2.70248e-23
12.5 6.62006e-22
13.75 1.29513e-20
15 2.0673e-19
16.25 2.74151e-18
17.5 3.06794e-17
18.75 2.93704e-16
20 2.43466e-15
21.25 1.76663e-14
22.5 1.13317e-13
23.75 6.48272e-13
25 3.33489e-12
26.25 1.55425e-11
27.5 6.60801e-11
28.75 2.57926e-10
30 9.2971e-10
31.25 3.11165e-09
32.5 9.71873e-09
33.75 2.84594e-08
35 7.84717e-08
36.25 2.04552e-07
37.5 5.05943e-07
38.75 1.1915e-06
40 2.68013e-06
41.25 5.77514e-06
42.5 1.19535e-05
43.75 2.38257e-05
45 4.58385e-05
46.25 8.53078e-05
47.5 0.000153885
48.75 0.000269563
50 0.000459342
51.25 0.000762648
52.5 0.00123559
53.75 0.00195613
55 0.00303011
56.25 0.00459812
57.5 0.0068432
58.75 0.00999896
60 0.0143581
61.25 0.0202809
62.5 0.0282036
63.75 0.0386456
65 0.0522165
66.25 0.0696207
67.5 0.0916609
68.75 0.11924
70 0.153358
71.25 0.195113
72.5 0.245692
73.75 0.306364
75 0.378468
76.25 0.463407
77.5 0.562624
78.75 0.677598
80 0.809817
81.25 0.960768
82.5 1.13192
83.75 1.32469
85 1.54047
86.25 1.78055
87.5 2.04616
88.75 2.33842
90 2.65834
91.25 3.00682
92.5 3.38464
93.75 3.79243
95 4.23071
96.25 4.69985
97.5 5.20009
98.75 5.73153
100 6.29416
101.25 6.88782
102.5 7.51226
103.75 8.1671
105 8.85187
106.25 9.566
107.5 10.3088
108.75 11.0797
110 11.8777
111.25 12.702
112.5 13.5518
113.75 14.4261
115 15.324
116.25 16.2444
117.5 17.1864
118.75 18.149
120 19.1312
121.25 20.1319
122.5 21.1503
123.75 22.1854
125 23.2361
126.25 24.3016
127.5 25.3811
128.75 26.4736
130 27.5782
131.25 28.6943
132.5 29.8211
133.75 30.9578
135 32.1037
136.25 33.2582
137.5 34.4206
138.75 35.5904
140 36.767
141.25 37.95
142.5 39.1387
143.75 40.3327
145 41.5317
146.25 42.7352
147.5 43.9428
148.75 45.1542
150 46.3691
151.25 47.5872
152.5 48.8081
153.75 50.0317
155 51.2577
156.25 52.4859
157.5 53.716
158.75 54.948
160 56.1815
161.25 57.4165
162.5 58.6529
163.75 59.8904
165 61.1289
166.25 62.3684
167.5 63.6087
168.75 64.8498
170 66.0915
171.25 67.3338
172.5 68.5765
173.75 69.8197
175 71.0632
176.25 72.307
177.5 73.551
178.75 74.7952
180 76.0395
181.25 77.2839
182.5 78.5284
183.75 79.7728
185 81.0172
186.25 82.2615
187.5 83.5057
188.75 84.7498
190 85.9936
191.25 87.2373
192.5 88.4807
193.75 89.7238
195 90.9666
196.25 92.2092
197.5 93.4513
198.75 94.6931
200 95.9344
201.25 97.1754
202.5 98.4159
203.75 99.6559
205 100.895
206.25 102.134
207.5 103.373
208.75 104.611
210 105.848
211.25 107.084
212.5 108.32
213.75 109.556
215 110.79
216.25 112.024
217.5 113.258
218.75 114.49
220 115.722
221.25 116.953
222.5 118.183
223.75 119.412
225 120.64
226.25 121.868
227.5 123.094
228.75 124.32
230 125.545
231.25 126.769
232.5 127.992
233.75 129.213
235 130.434
236.25 131.654
237.5 132.873
238.75 134.091
240 135.307
241.25 136.523
242.5 137.737
243.75 138.951
245 140.163
246.25 141.374
247.5 142.584
248.75 143.792
250 145
